game_ids,goal_ids,global_goal_times
166,464,14969
167,465,15047
167,466,15063
167,467,15096
168,468,15140
168,469,15148
168,470,15164
168,471,15173
168,472,15205
169,473,15234
169,474,15243
169,475,15283
169,476,15290
170,477,15318
170,478,15368
171,479,15404
171,480,15438
171,481,15453
171,482,15480
172,483,15501
172,484,15557
173,485,15621
174,486,15675
174,487,15702
174,488,15718
174,489,15731
175,490,15777
175,491,15783
175,492,15785
175,493,15801
175,494,15835
177,495,15960
177,496,16017
178,497,16023
178,498,16049
178,499,16058
178,500,16061
178,501,16077
178,502,16110
179,503,16131
179,504,16137
179,505,16145
179,506,16152
179,507,16158
179,508,16161
179,509,16171
179,510,16184
180,511,16274
180,512,16285
181,513,16292
181,514,16303
181,515,16312
181,516,16326
181,517,16361
181,518,16380
183,519,16484
183,520,16489
183,521,16551
184,522,16571
184,523,16607
184,524,16639
184,525,16645
185,526,16678
185,527,16714
185,528,16728
185,529,16738
186,530,16756
186,531,16763
186,532,16775
186,533,16801
186,534,16810
187,535,16837
187,536,16865
188,537,16965
188,538,16965
188,539,16978
189,540,17060
189,541,17063
189,542,17069
190,543,17159
191,544,17280
192,545,17370
193,546,17392
193,547,17442
193,548,17453
193,549,17457
194,550,17489
194,551,17542
195,552,17561
195,553,17564
195,554,17566
195,555,17582
195,556,17595
195,557,17615
196,558,17691
197,559,17745
197,560,17764
198,561,17830
198,562,17857
198,563,17865
198,564,17865
199,565,17915
199,566,17943
199,567,17955
199,568,17955
199,569,17982
200,570,18058
201,571,18115
201,572,18145
201,573,18159
201,574,18169
201,575,18173
202,576,18183
202,577,18192
202,578,18206
204,579,18393
204,580,18400
204,581,18434
205,582,18506
205,583,18508
205,584,18516
205,585,18518
206,586,18623
206,587,18630
207,588,18644
207,589,18657
207,590,18664
207,591,18667
207,592,18668
207,593,18670
208,594,18784
208,595,18800
209,596,18850
209,597,18874
209,598,18882
210,599,18948
211,600,19040
212,601,19082
212,602,19100
212,603,19103
214,604,19298
214,605,19327
214,606,19334
215,607,19361
215,608,19395
215,609,19408
216,610,19449
216,611,19480
216,612,19497
217,613,19591
217,614,19620
218,615,19664
219,616,19720
219,617,19749
219,618,19788
220,619,19804
220,620,19812
220,621,19847
220,622,19851
220,623,19864
220,624,19887
220,625,19890
221,626,19943
221,627,19980
222,628,20014
222,629,20026
222,630,20033
222,631,20045
222,632,20055
222,633,20070
222,634,20070
223,635,20097
223,636,20112
223,637,20142
224,638,20184
224,639,20223
224,640,20250
225,641,20300
225,642,20314
225,643,20340
227,644,20444
227,645,20469
228,646,20538
228,647,20574
228,648,20576
229,649,20627
229,650,20661
229,651,20700
230,652,20766
230,653,20783
230,654,20790
231,655,20793
231,656,20807
231,657,20837
231,658,20848
231,659,20864
231,660,20869
232,661,20883
233,662,21036
233,663,21050
233,664,21056
234,665,21111
234,666,21141
234,667,21147
234,668,21150
235,669,21151
235,670,21216
235,671,21230
236,672,21287
236,673,21303
236,674,21314
236,675,21330
237,676,21371
237,677,21407
238,678,21423
238,679,21465
239,680,21548
239,681,21590
239,682,21597
240,683,21683
242,684,21835
242,685,21870
243,686,21886
243,687,21915
243,688,21936
243,689,21939
243,690,21956
244,691,21985
244,692,22047
245,693,22057
245,694,22077
245,695,22095
245,696,22116
246,697,22145
246,698,22186
247,699,22239
248,700,22321
248,701,22331
248,702,22364
248,703,22381
249,704,22432
249,705,22438
250,706,22545
250,707,22590
251,708,22604
251,709,22613
251,710,22655
252,711,22707
252,712,22756
253,713,22786
253,714,22814
253,715,22860
254,716,22884
254,717,22894
254,718,22908
255,719,23019
255,720,23040
255,721,23040
256,722,23105
257,723,23156
257,724,23191
257,725,23204
257,726,23206
258,727,23253
258,728,23283
258,729,23296
258,730,23310
259,731,23314
259,732,23323
259,733,23329
259,734,23335
259,735,23366
259,736,23390
260,737,23456
260,738,23490
261,739,23508
261,740,23551
261,741,23553
261,742,23563
261,743,23572
261,744,23580
262,745,23583
262,746,23609
262,747,23620
262,748,23670
263,749,23727
263,750,23735
263,751,23753
264,752,23774
264,753,23843
265,754,23896
265,755,23902
266,756,23980
266,757,24004
266,758,24010
266,759,24021
266,760,24030
267,761,24036
267,762,24047
269,763,24251
269,764,24276
269,765,24300
270,766,24390
271,767,24400
271,768,24453
271,769,24456
272,770,24504
272,771,24518
273,772,24574
273,773,24597
273,774,24600
273,775,24617
273,776,24629
273,777,24648
274,778,24683
274,779,24700
275,780,24783
275,781,24802
275,782,24816
275,783,24833
276,784,24897
276,785,24924
277,786,24939
277,787,24950
277,788,24996
277,789,25009
277,790,25012
278,791,25079
279,792,25126
279,793,25184
280,794,25255
281,795,25369
282,796,25395
282,797,25428
282,798,25456
282,799,25470
283,800,25496
283,801,25523
283,802,25529
283,803,25545
283,804,25558
284,805,25576
284,806,25578
285,807,25657
285,808,25692
286,809,25745
286,810,25815
286,811,25830
287,812,25850
287,813,25857
287,814,25861
289,815,26029
289,816,26060
289,817,26084
290,818,26104
290,819,26152
291,820,26210
291,821,26256
292,822,26301
292,823,26331
292,824,26358
292,825,26366
293,826,26388
293,827,26402
293,828,26435
293,829,26451
293,830,26454
294,831,26486
294,832,26536
294,833,26541
295,834,26596
295,835,26600
295,836,26609
295,837,26616
296,838,26646
296,839,26659
296,840,26669
296,841,26707
296,842,26730
296,843,26730
297,844,26786
297,845,26820
298,846,26832
298,847,26889
299,848,26955
299,849,26958
299,850,26991
299,851,27000
300,852,27033
300,853,27038
300,854,27090
301,855,27105
301,856,27107
301,857,27120
301,858,27155
301,859,27165
301,860,27174
301,861,27180
302,862,27206
302,863,27254
302,864,27261
303,865,27319
303,866,27342
304,867,27365
304,868,27387
305,869,27503
306,870,27542
306,871,27617
307,872,27706
307,873,27718
308,874,27731
308,875,27802
309,876,27838
309,877,27882
309,878,27900
310,879,27905
310,880,27933
311,881,28036
311,882,28074
311,883,28080
312,884,28096
312,885,28150
312,886,28170
313,887,28200
313,888,28253
314,889,28283
314,890,28293
314,891,28323
