,game_ids,goal_times,global_goal_times
540,189,53,17063
541,189,59,17069
542,190,59,17159
543,191,90,17280
544,192,90,17370
545,193,22,17392
546,193,72,17442
547,193,83,17453
548,193,87,17457
549,194,29,17489
550,194,82,17542
551,195,11,17561
552,195,14,17564
553,195,16,17566
554,195,32,17582
555,195,45,17595
556,195,65,17615
557,196,51,17691
558,197,15,17745
559,197,34,17764
560,198,10,17830
561,198,37,17857
562,198,45,17865
563,198,45,17865
564,199,5,17915
565,199,33,17943
566,199,45,17955
567,199,45,17955
568,199,72,17982
569,200,58,18058
570,201,25,18115
571,201,55,18145
572,201,69,18159
573,201,79,18169
574,201,83,18173
575,202,3,18183
576,202,12,18192
577,202,26,18206
578,204,33,18393
579,204,40,18400
580,204,74,18434
581,205,56,18506
582,205,58,18508
583,205,66,18516
584,205,68,18518
585,206,83,18623
586,206,90,18630
587,207,14,18644
588,207,27,18657
589,207,34,18664
590,207,37,18667
591,207,38,18668
592,207,40,18670
593,208,64,18784
594,208,80,18800
595,209,40,18850
596,209,64,18874
597,209,72,18882
598,210,48,18948
599,211,50,19040
600,212,2,19082
601,212,20,19100
602,212,23,19103
603,214,38,19298
604,214,67,19327
605,214,74,19334
606,215,11,19361
607,215,45,19395
608,215,58,19408
609,216,9,19449
610,216,40,19480
611,216,57,19497
612,217,61,19591
613,217,90,19620
614,218,44,19664
615,219,10,19720
616,219,39,19749
617,219,78,19788
618,220,4,19804
619,220,12,19812
620,220,47,19847
621,220,51,19851
622,220,64,19864
623,220,87,19887
624,220,90,19890
625,221,53,19943
626,221,90,19980
627,222,34,20014
628,222,46,20026
629,222,53,20033
630,222,65,20045
631,222,75,20055
632,222,90,20070
633,222,90,20070
634,223,27,20097
635,223,42,20112
636,223,72,20142
637,224,24,20184
638,224,63,20223
639,224,90,20250
640,225,50,20300
641,225,64,20314
642,225,90,20340
643,227,14,20444
644,227,39,20469
645,228,18,20538
646,228,54,20574
647,228,56,20576
648,229,17,20627
649,229,51,20661
650,229,90,20700
651,230,66,20766
652,230,83,20783
653,230,90,20790
654,231,3,20793
655,231,17,20807
656,231,47,20837
657,231,58,20848
658,231,74,20864
659,231,79,20869
660,232,3,20883
661,233,66,21036
662,233,80,21050
663,233,86,21056
664,234,51,21111
665,234,81,21141
666,234,87,21147
667,234,90,21150
668,235,1,21151
669,235,66,21216
670,235,80,21230
671,236,47,21287
672,236,63,21303
673,236,74,21314
674,236,90,21330
675,237,41,21371
676,237,77,21407
677,238,3,21423
678,238,45,21465
679,239,38,21548
680,239,80,21590
681,239,87,21597
682,240,83,21683
683,242,55,21835
684,242,90,21870
685,243,16,21886
686,243,45,21915
687,243,66,21936
688,243,69,21939
689,243,86,21956
690,244,25,21985
691,244,87,22047
692,245,7,22057
693,245,27,22077
694,245,45,22095
695,245,66,22116
696,246,5,22145
697,246,46,22186
698,247,9,22239
699,248,1,22321
700,248,11,22331
701,248,44,22364
702,248,61,22381
703,249,22,22432
704,249,28,22438
705,250,45,22545
706,250,90,22590
707,251,14,22604
708,251,23,22613
709,251,65,22655
710,252,27,22707
711,252,76,22756
712,253,16,22786
713,253,44,22814
714,253,90,22860
715,254,24,22884
716,254,34,22894
717,254,48,22908
718,255,69,23019
719,255,90,23040
720,255,90,23040
721,256,65,23105
722,257,26,23156
723,257,61,23191
724,257,74,23204
725,257,76,23206
726,258,33,23253
727,258,63,23283
728,258,76,23296
729,258,90,23310
730,259,4,23314
731,259,13,23323
732,259,19,23329
733,259,25,23335
734,259,56,23366
735,259,80,23390
736,260,56,23456
737,260,90,23490
738,261,18,23508
739,261,61,23551
740,261,63,23553
741,261,73,23563
742,261,82,23572
743,261,90,23580
744,262,3,23583
745,262,29,23609
746,262,40,23620
747,262,90,23670
748,263,57,23727
749,263,65,23735
750,263,83,23753
751,264,14,23774
752,264,83,23843
753,265,46,23896
754,265,52,23902
755,266,40,23980
756,266,64,24004
757,266,70,24010
758,266,81,24021
759,266,90,24030
760,267,6,24036
761,267,17,24047
762,269,41,24251
763,269,66,24276
764,269,90,24300
765,270,90,24390
766,271,10,24400
767,271,63,24453
768,271,66,24456
769,272,24,24504
770,272,38,24518
771,273,4,24574
772,273,27,24597
773,273,30,24600
774,273,47,24617
775,273,59,24629
776,273,78,24648
777,274,23,24683
778,274,40,24700
779,275,33,24783
780,275,52,24802
781,275,66,24816
782,275,83,24833
783,276,57,24897
784,276,84,24924
785,277,9,24939
786,277,20,24950
787,277,66,24996
788,277,79,25009
789,277,82,25012
790,278,59,25079
791,279,16,25126
792,279,74,25184
793,280,55,25255
794,281,79,25369
795,282,15,25395
796,282,48,25428
797,282,76,25456
798,282,90,25470
799,283,26,25496
800,283,53,25523
801,283,59,25529
802,283,75,25545
803,283,88,25558
804,284,16,25576
805,284,18,25578
806,285,7,25657
807,285,42,25692
808,286,5,25745
809,286,75,25815
810,286,90,25830
811,287,20,25850
812,287,27,25857
813,287,31,25861
814,289,19,26029
815,289,50,26060
816,289,74,26084
817,290,4,26104
818,290,52,26152
819,291,20,26210
820,291,66,26256
821,292,21,26301
822,292,51,26331
823,292,78,26358
824,292,86,26366
825,293,18,26388
826,293,32,26402
827,293,65,26435
828,293,81,26451
829,293,84,26454
830,294,26,26486
831,294,76,26536
832,294,81,26541
833,295,46,26596
834,295,50,26600
835,295,59,26609
836,295,66,26616
837,296,6,26646
838,296,19,26659
839,296,29,26669
840,296,67,26707
841,296,90,26730
842,296,90,26730
843,297,56,26786
844,297,90,26820
845,298,12,26832
846,298,69,26889
847,299,45,26955
848,299,48,26958
849,299,81,26991
850,299,90,27000
851,300,33,27033
852,300,38,27038
853,300,90,27090
854,301,15,27105
855,301,17,27107
856,301,30,27120
857,301,65,27155
858,301,75,27165
859,301,84,27174
860,301,90,27180
861,302,26,27206
862,302,74,27254
863,302,81,27261
864,303,49,27319
865,303,72,27342
866,304,5,27365
867,304,27,27387
868,305,53,27503
869,306,2,27542
870,306,77,27617
871,307,76,27706
872,307,88,27718
873,308,11,27731
874,308,82,27802
875,309,28,27838
876,309,72,27882
877,309,90,27900
878,310,5,27905
879,310,33,27933
880,311,46,28036
881,311,84,28074
882,311,90,28080
883,312,16,28096
884,312,70,28150
885,312,90,28170
886,313,30,28200
887,313,83,28253
888,314,23,28283
889,314,33,28293
890,314,63,28323
891,314,69,28329
892,314,75,28335
893,315,13,28363
894,315,25,28375
895,315,77,28427
896,316,38,28478
897,316,60,28500
898,316,63,28503
899,317,55,28585
900,317,80,28610
901,318,6,28626
902,318,44,28664
903,319,9,28719
904,319,36,28746
905,319,80,28790
906,319,86,28796
907,320,4,28804
908,320,18,28818
909,320,20,28820
910,320,56,28856
911,321,24,28914
912,321,48,28938
913,321,52,28942
914,321,79,28969
915,321,84,28974
916,322,81,29061
917,323,10,29080
918,324,24,29184
919,324,90,29250
920,325,32,29282
921,326,24,29364
922,326,27,29367
923,326,87,29427
924,326,90,29430
925,327,33,29463
926,327,55,29485
927,327,74,29504
928,327,82,29512
929,327,90,29520
930,328,31,29551
931,328,90,29610
932,329,46,29656
933,329,69,29679
